Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,1,1,1
1,4,24,2,3,1278,1,5,4,3,1,1,1,36,3,2,1,4,1,2,1
1,2,12,4,1,1860,1,1,4,3,1,2,3,34,3,2,2,4,1,2,1
1,2,24,3,9,6967,2,4,4,3,1,4,3,36,3,1,1,4,1,2,1
1,3,36,2,3,3919,1,3,2,3,1,2,1,23,3,2,1,3,1,2,1
1,3,12,2,2,1424,5,5,3,2,1,4,1,55,3,2,1,4,1,2,1
1,1,21,4,0,571,1,5,4,3,1,4,1,65,3,2,2,3,1,1,1
1,2,16,4,0,1175,1,1,2,3,1,3,3,68,3,3,3,1,1,2,1
1,2,15,2,5,1308,1,5,4,3,1,4,3,38,3,2,2,2,1,1,1
1,1,24,4,1,2957,1,5,4,3,1,4,2,63,3,2,2,3,1,2,1
0,1,24,1,2,3349,3,2,4,3,1,4,4,30,3,3,1,3,2,2,1
1,2,9,2,0,3195,5,3,1,2,1,2,1,33,3,2,1,2,1,1,1
1,2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,2,2,1
1,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,1,1
1,4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,1,2,1
0,1,27,0,9,5293,1,1,2,3,1,4,2,50,3,2,2,3,1,2,1
0,2,60,2,0,14027,1,4,4,3,1,2,4,27,3,2,1,4,1,2,1
1,4,12,2,2,1736,1,4,3,2,1,4,1,31,3,2,1,2,1,1,1
0,1,6,1,6,1198,1,5,4,2,1,4,4,35,3,3,1,3,1,1,1
0,4,9,2,3,1478,1,4,4,3,1,2,3,22,3,2,1,3,1,1,1
0,2,24,2,3,3092,2,2,3,4,1,2,3,22,3,1,1,3,1,2,1
1,4,6,0,0,1204,2,3,4,3,1,1,4,35,1,1,1,3,1,1,2
0,1,12,4,0,4843,1,5,3,3,2,4,2,43,3,1,2,3,1,2,1
1,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,2,1
1,4,18,4,3,1800,1,3,4,3,1,2,3,24,3,2,2,3,1,1,1
1,3,6,4,6,1047,1,3,2,2,1,4,2,50,3,2,1,2,1,1,1
0,2,15,1,0,6850,2,1,1,3,1,2,2,34,2,2,1,4,2,2,1
1,4,6,4,2,1221,5,3,1,4,1,2,2,27,3,2,2,3,1,1,1
0,1,24,2,0,1207,1,2,4,2,1,4,2,24,3,1,1,3,1,1,1
1,1,18,4,0,5302,1,5,2,3,1,4,4,36,3,3,3,4,1,2,1
0,2,48,2,9,15672,1,3,2,3,1,2,3,23,3,2,1,3,1,2,1
0,1,24,1,2,6872,1,2,2,1,1,1,2,55,1,2,1,3,1,2,1
0,4,24,3,9,8648,1,2,2,3,1,2,3,27,1,2,2,3,1,2,1
1,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,2,1,1
1,4,24,2,1,9277,5,3,2,1,1,4,4,48,3,3,1,3,1,2,1
1,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,1,2,1
0,1,48,1,9,7685,1,4,2,2,3,4,3,37,3,1,1,3,1,1,1
0,2,9,2,2,959,1,3,1,2,1,2,3,29,1,2,1,3,1,1,1
1,4,36,2,1,4686,1,3,2,3,1,2,4,32,3,3,1,4,1,2,1
0,2,48,4,2,5096,1,3,2,2,1,3,3,30,3,2,1,4,1,2,1
1,1,12,2,2,708,1,3,2,3,3,3,2,38,3,2,1,2,2,1,1
1,4,24,2,3,2284,1,4,4,3,1,2,3,28,3,2,1,3,1,2,1
